"product_id","product_name","category","stock_quantity","price","last_updated_date"
1,"Laptop Core i7","Electronics",15,"1200.00","2025-09-28"
2,"Wireless Mouse","Electronics",250,"25.50","2025-10-01"
3,"Mechanical Keyboard","Electronics",80,"95.00","2025-09-25"
4,"Desk Lamp LED","Home Goods",120,"35.00","2025-10-05"
5,"Coffee Maker 12-cup","Home Goods",45,"75.25","2025-10-02"
6,"Blender High-speed","Home Goods",60,"89.99","2025-09-29"
7,"Smartphone Case","Mobile Accessories",300,"15.00","2025-10-08"
8,"Bluetooth Headphones","Electronics",150,"199.00","2025-10-06"
9,"External Hard Drive 1TB","Electronics",70,"65.00","2025-10-03"
10,"Yoga Mat","Fitness",90,"22.50","2025-09-20"
11,"Running Shoes","Apparel",110,"85.00","2025-10-04"
12,"Water Bottle Stainless","Fitness",180,"18.75","2025-10-07"
13,"Portable Speaker","Electronics",55,"49.99","2025-09-26"
14,"Smart Watch","Electronics",30,"250.00","2025-10-09"
15,"Backpack Urban","Apparel",95,"40.00","2025-10-01"
16,"Digital Camera","Electronics",20,"450.00","2025-10-10"
17,"Cookware Set 10-piece","Home Goods",25,"150.00","2025-09-24"
18,"Toaster 4-slice","Home Goods",75,"42.99","2025-10-05"
19,"Power Bank 20000mAh","Mobile Accessories",200,"30.00","2025-10-08"
20,"Tablet Stand","Electronics",130,"20.00","2025-10-07"
21,"Smart TV 55-inch","Electronics",10,"800.00","2025-10-11"
22,"Gaming Console","Electronics",25,"499.00","2025-09-28"
23,"Sofa Bed","Furniture",5,"550.00","2025-10-03"
24,"Dining Table","Furniture",12,"350.00","2025-10-01"
25,"Wardrobe Cabinet","Furniture",8,"280.00","2025-10-06"
26,"Desk Office","Furniture",18,"190.00","2025-09-29"
27,"Chair Ergonomic","Furniture",35,"120.00","2025-10-05"
28,"Rug Area","Home Goods",50,"60.00","2025-10-02"
29,"Vacuum Cleaner","Home Goods",40,"110.00","2025-10-04"
30,"Air Fryer","Home Goods",65,"90.00","2025-10-07"
31,"Dumbbell Set 20kg","Fitness",22,"55.00","2025-09-21"
32,"Jump Rope","Fitness",150,"10.00","2025-10-08"
33,"Protein Powder","Fitness",80,"45.00","2025-10-06"
34,"T-Shirt Cotton","Apparel",200,"12.00","2025-10-03"
35,"Jeans Slim Fit","Apparel",100,"50.00","2025-09-27"
36,"Jacket Winter","Apparel",60,"75.00","2025-10-09"
37,"Hoodie Pullover","Apparel",180,"35.00","2025-10-05"
38,"Socks Pack 5","Apparel",350,"8.00","2025-10-02"
39,"Headphones Wired","Electronics",190,"20.00","2025-09-23"
40,"Mouse Pad","Electronics",400,"10.00","2025-10-04"
41,"Monitor 27-inch","Electronics",25,"299.00","2025-10-10"
42,"Printer Inkjet","Electronics",30,"85.00","2025-09-28"
43,"Microphone USB","Electronics",60,"70.00","2025-10-07"
44,"Webcam HD","Electronics",50,"45.00","2025-10-06"
45,"Smartphone Foldable","Electronics",5,"1500.00","2025-10-09"
46,"Smart Speaker","Electronics",90,"120.00","2025-10-01"
47,"Electric Kettle","Home Goods",110,"30.00","2025-10-08"
48,"Food Processor","Home Goods",30,"99.99","2025-09-29"
49,"Microwave Oven","Home Goods",40,"120.00","2025-10-03"
50,"Hand Mixer","Home Goods",85,"25.00","2025-10-05"
51,"Duvet Cover Set","Home Goods",70,"55.00","2025-10-02"
52,"Pillow Memory Foam","Home Goods",100,"30.00","2025-10-04"
53,"Shelf Wall-mounted","Furniture",40,"45.00","2025-10-07"
54,"Shoe Rack","Furniture",55,"28.00","2025-09-26"
55,"Gaming Chair","Furniture",20,"180.00","2025-10-09"
56,"Desk Standing","Furniture",10,"250.00","2025-10-01"
57,"Candle Scented","Home Goods",200,"15.00","2025-10-08"
58,"Diffuser Essential Oil","Home Goods",120,"20.00","2025-10-06"
59,"Painting Canvas","Home Goods",60,"50.00","2025-10-03"
60,"Book Shelf","Furniture",15,"75.00","2025-09-25"
61,"Elliptical Trainer","Fitness",8,"350.00","2025-10-10"
62,"Treadmill","Fitness",6,"450.00","2025-09-27"
63,"Resistance Bands","Fitness",180,"14.00","2025-10-04"
64,"Fitness Tracker","Fitness",50,"70.00","2025-10-08"
65,"Sleeper Sofa","Furniture",7,"600.00","2025-10-01"
66,"End Table","Furniture",28,"65.00","2025-10-05"
67,"Throw Blanket","Home Goods",140,"25.00","2025-10-02"
68,"Throw Pillow","Home Goods",250,"18.00","2025-10-07"
69,"Coffee Table","Furniture",20,"100.00","2025-09-29"
70,"Rug Runner","Home Goods",80,"40.00","2025-10-04"
71,"Tool Kit","Home Goods",90,"55.00","2025-09-28"
72,"Drill Electric","Home Goods",30,"75.00","2025-10-05"
73,"Hammer Set","Home Goods",150,"20.00","2025-10-02"
74,"Wrench Set","Home Goods",110,"35.00","2025-10-07"
75,"Ladder Step","Home Goods",45,"50.00","2025-10-01"
76,"Screwdriver Set","Home Goods",180,"15.00","2025-10-06"
77,"Air Conditioner Portable","Home Goods",15,"280.00","2025-10-09"
78,"Heater Portable","Home Goods",25,"45.00","2025-10-04"
79,"Fan Oscillating","Home Goods",65,"30.00","2025-10-08"
80,"Air Purifier","Home Goods",40,"120.00","2025-09-28"
81,"Water Filter Pitcher","Home Goods",130,"25.00","2025-10-03"
82,"Smart Scale","Fitness",75,"40.00","2025-10-01"
83,"Kettlebell 15kg","Fitness",20,"35.00","2025-10-06"
84,"Boxing Gloves","Fitness",30,"50.00","2025-09-29"
